IncidentID,County,RdwyNumber,RdwyType,Street,RoadwayName,StreetSfx,StreetDir,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,KABCO,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Intersection Crash,Bicyclist,Pedestrian,Motor Vehicles
26417652,CAMPBELL,,OTHR,,7TH,ST,E,39.08956326,-84.49375714,0.652,1/8/2020 0:00,1639,2,1,0,1,C,CLEAR,DRY,0,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,1,0,1,0
26162426,CAMPBELL,KY0009,StateRoute,,AA,HWY,,38.90027975,-84.27738001,,1/8/2020 0:00,640,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),0,0,0,1
26160587,CAMPBELL,,OTHR,1030,WASHINGTON,AVE,,39.0879214,-84.48616602,0.63,1/8/2020 0:00,1612,2,2,0,0,O,CLEAR,DRY,1,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26165573,CAMPBELL,,OTHR,5994,MURNAN,RD,,39.01428114,-84.4370065,1.695,1/8/2020 0:00,1554,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT,0,0,0,1
27655562,CAMPBELL,KY0008,StateRoute,,MARY INGLES,HWY,,39.02901141,-84.35851113,,1/9/2020 0:00,2346,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,0,0,0,1
26178324,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.04226432,-84.44851626,17.208,1/9/2020 0:00,2042,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26175887,CAMPBELL,,OTHR,,13TH,ST,W,39.08322246,-84.48771557,0.102,1/9/2020 0:00,510,3,3,0,0,O,CLEAR,DRY,0,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26168106,CAMPBELL,KY0009,StateRoute,,AA,HWY,,38.86234448,-84.26419668,,1/9/2020 0:00,655,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,0,0,0,1
26168109,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,38.87331068,-84.39367162,4.033,1/9/2020 0:00,801,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26173457,CAMPBELL,KY1120,StateRoute,,MEMORIAL,PKWY,,39.09267206,-84.47523187,1.677,1/9/2020 0:00,1810,2,2,0,0,O,CLOUDY,DRY,0,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,0,0,0,1
